Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 23 5",1,121,350,150,23,5,100,24,28,100,1,16
3,move,"move 23 27",2,126,350,150,23,5,100,23,27,100,1,16
4,move,"move 2 16",3,131,350,150,23,5,100,23,27,100,2,16
5,dig,"dig 22 6",1,138,350,150,23,5,100,23,27,100,2,16
6,dig,"dig 22 26",2,145,350,150,23,5,100,23,27,100,2,16
7,dig,"dig 3 16",3,152,350,150,23,5,100,23,27,100,2,16
8,move,"move 22 6",1,157,350,150,22,6,100,23,27,100,2,16
9,move,"move 22 26",2,162,350,150,22,6,100,22,26,100,2,16
10,move,"move 3 16",3,167,350,150,22,6,100,22,26,100,3,16
11,dig,"dig 21 7",1,174,350,150,22,6,100,22,26,100,3,16
12,dig,"dig 21 25",2,181,350,150,22,6,100,22,26,100,3,16
13,move,"move 4 16",3,186,350,150,22,6,100,22,26,100,4,16
14,move,"move 21 7",1,191,350,150,21,7,100,22,26,100,4,16
15,move,"move 21 25",2,196,350,150,21,7,100,21,25,100,4,16
16,dig,"dig 5 16",3,203,350,150,21,7,100,21,25,100,4,16
17,move,"move 20 8",1,208,350,150,20,8,100,21,25,100,4,16
18,move,"move 20 24",2,213,350,150,20,8,100,20,24,100,4,16
19,move,"move 5 16",3,218,350,150,20,8,100,20,24,100,5,16
20,move,"move 19 9",1,223,350,150,19,9,100,20,24,100,5,16
21,dig,"dig 19 23",2,230,350,150,19,9,100,20,24,100,5,16
22,move,"move 6 16",3,235,350,150,19,9,100,20,24,100,6,16
23,move,"move 19 10",1,240,350,150,19,10,100,20,24,100,6,16
24,move,"move 19 23",2,245,350,150,19,10,100,19,23,100,6,16
25,move,"move 7 16",3,250,350,150,19,10,100,19,23,100,7,16
26,dig,"dig 19 11",1,257,350,150,19,10,100,19,23,100,7,16
27,dig,"dig 19 22",2,264,350,150,19,10,100,19,23,100,7,16
28,dig,"dig 8 16",3,271,350,150,19,10,100,19,23,100,7,16
29,move,"move 19 11",1,276,350,150,19,11,100,19,23,100,7,16
30,move,"move 19 22",2,281,350,150,19,11,100,19,22,100,7,16
31,move,"move 8 16",3,286,350,150,19,11,100,19,22,100,8,16
32,dig,"dig 19 12",1,293,350,150,19,11,100,19,22,100,8,16
33,dig,"dig 19 21",2,300,350,150,19,11,100,19,22,100,8,16
34,dig,"dig 9 16",3,307,350,150,19,11,100,19,22,100,8,16
35,move,"move 19 12",1,312,350,150,19,12,100,19,22,100,8,16
36,move,"move 19 21",2,317,350,150,19,12,100,19,21,100,8,16
37,move,"move 9 16",3,322,350,150,19,12,100,19,21,100,9,16
38,move,"move 19 13",1,327,350,150,19,13,100,19,21,100,9,16
39,dig,"dig 19 20",2,334,350,150,19,13,100,19,21,100,9,16
40,snowball,"snowball 13 13",3,351,350,150,19,13,100,19,21,100,9,16
41,move,"move 19 14",1,351,350,150,19,13,100,19,21,100,9,16
42,move,"move 19 20",2,356,350,150,19,13,100,19,20,100,9,16
43,dig,"dig 10 16",3,363,350,150,19,13,100,19,20,100,9,16
44,move,"move 19 14",1,363,350,150,19,13,100,19,20,100,9,16
45,move,"move 19 19",2,362,330,150,19,13,100,19,19,80,9,16
46,snowball,"snowball 13 19",3,379,330,150,19,13,100,19,19,80,9,16
47,move,"move 19 14",1,379,330,150,19,13,100,19,19,80,9,16
48,banana,"banana 23 16",2,461,310,150,19,13,100,19,19,60,9,16
49,move,"move 10 16",3,466,310,150,19,13,100,19,19,60,10,16
50,move,"move 19 14",1,466,310,150,19,13,100,19,19,60,10,16
51,banana,"banana 22 16",2,513,290,150,19,13,100,19,19,40,10,16
52,snowball,"snowball 13 19",3,530,290,150,19,13,100,19,19,40,10,16
53,move,"move 19 14",1,530,290,150,19,13,100,19,19,40,10,16
54,banana,"banana 22 16",2,570,290,150,19,13,100,19,19,40,10,16
55,move,"move 11 16",3,575,290,150,19,13,100,19,19,40,11,16
56,move,"move 19 14",1,575,290,150,19,13,100,19,19,40,11,16
57,move,"move 19 18",2,580,290,150,19,13,100,19,18,40,11,16
58,shoot,"shoot NE",2,594,282,150,19,13,92,19,18,40,11,16
59,shoot,"shoot NE",2,607,274,150,19,13,84,19,18,40,11,16
60,shoot,"shoot NE",2,620,266,150,19,13,76,19,18,40,11,16
61,shoot,"shoot NE",2,634,258,150,19,13,68,19,18,40,11,16
62,shoot,"shoot NE",2,687,250,150,19,13,60,19,18,40,11,16
63,move,"move 12 16",3,692,250,150,19,13,60,19,18,40,12,16
64,move,"move 19 14",1,697,250,150,19,14,60,19,18,40,12,16
65,move,"move 19 17",2,699,242,150,19,14,60,19,17,32,12,16
66,shoot,"shoot NE",3,715,242,150,19,14,60,19,17,32,12,16
67,dig,"dig 19 15",1,720,234,150,19,14,60,19,17,24,12,16
