Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,8,28,100,8,4,100,31,16
2,move,"move 9 27",1,121,350,150,9,27,100,8,4,100,31,16
3,move,"move 9 5",2,126,350,150,9,27,100,9,5,100,31,16
4,move,"move 30 16",3,131,350,150,9,27,100,9,5,100,30,16
5,dig,"dig 10 26",1,138,350,150,9,27,100,9,5,100,30,16
6,dig,"dig 10 6",2,145,350,150,9,27,100,9,5,100,30,16
7,dig,"dig 29 16",3,152,350,150,9,27,100,9,5,100,30,16
8,move,"move 10 26",1,157,350,150,10,26,100,9,5,100,30,16
9,move,"move 10 6",2,162,350,150,10,26,100,10,6,100,30,16
10,move,"move 29 16",3,167,350,150,10,26,100,10,6,100,29,16
11,dig,"dig 11 25",1,174,350,150,10,26,100,10,6,100,29,16
12,dig,"dig 11 7",2,181,350,150,10,26,100,10,6,100,29,16
13,move,"move 28 16",3,186,350,150,10,26,100,10,6,100,28,16
14,move,"move 11 25",1,191,350,150,11,25,100,10,6,100,28,16
15,move,"move 11 7",2,196,350,150,11,25,100,11,7,100,28,16
16,dig,"dig 27 16",3,203,350,150,11,25,100,11,7,100,28,16
17,move,"move 12 24",1,208,350,150,12,24,100,11,7,100,28,16
18,move,"move 12 8",2,213,350,150,12,24,100,12,8,100,28,16
19,move,"move 27 16",3,218,350,150,12,24,100,12,8,100,27,16
20,dig,"dig 13 23",1,225,350,150,12,24,100,12,8,100,27,16
21,move,"move 13 9",2,230,350,150,12,24,100,13,9,100,27,16
22,move,"move 26 16",3,235,350,150,12,24,100,13,9,100,26,16
23,move,"move 13 23",1,240,350,150,13,23,100,13,9,100,26,16
24,move,"move 13 10",2,245,350,150,13,23,100,13,10,100,26,16
25,move,"move 25 16",3,250,350,150,13,23,100,13,10,100,25,16
26,dig,"dig 13 22",1,257,350,150,13,23,100,13,10,100,25,16
27,dig,"dig 13 11",2,264,350,150,13,23,100,13,10,100,25,16
28,dig,"dig 24 16",3,271,350,150,13,23,100,13,10,100,25,16
29,move,"move 13 22",1,276,350,150,13,22,100,13,10,100,25,16
30,move,"move 13 11",2,281,350,150,13,22,100,13,11,100,25,16
31,move,"move 24 16",3,286,350,150,13,22,100,13,11,100,24,16
32,dig,"dig 13 21",1,293,350,150,13,22,100,13,11,100,24,16
33,dig,"dig 13 12",2,300,350,150,13,22,100,13,11,100,24,16
34,dig,"dig 23 16",3,307,350,150,13,22,100,13,11,100,24,16
35,move,"move 13 21",1,312,350,150,13,21,100,13,11,100,24,16
36,move,"move 13 12",2,317,350,150,13,21,100,13,12,100,24,16
37,move,"move 23 16",3,322,350,150,13,21,100,13,12,100,23,16
38,dig,"dig 13 20",1,329,350,150,13,21,100,13,12,100,23,16
39,move,"move 13 13",2,334,350,150,13,21,100,13,13,100,23,16
40,snowball,"snowball 19 13",3,351,350,150,13,21,100,13,13,100,23,16
41,move,"move 13 20",1,356,350,150,13,20,100,13,13,100,23,16
42,banana,"banana 9 16",2,356,350,150,13,20,100,13,13,100,23,16
43,dig,"dig 22 16",3,363,350,150,13,20,100,13,13,100,23,16
44,move,"move 13 19",1,368,350,150,13,19,100,13,13,100,23,16
45,banana,"banana 9 16",2,457,350,150,13,19,100,13,13,100,23,16
46,snowball,"snowball 19 13",3,474,350,150,13,19,100,13,13,100,23,16
47,move,"move 13 18",1,474,350,150,13,19,100,13,13,100,23,16
48,banana,"banana 9 16",2,508,330,150,13,19,100,13,13,80,23,16
49,move,"move 22 16",3,513,330,150,13,19,100,13,13,80,22,16
50,move,"move 13 18",1,513,330,150,13,19,100,13,13,80,22,16
51,banana,"banana 10 16",2,560,310,150,13,19,100,13,13,60,22,16
52,snowball,"snowball 19 13",3,577,310,150,13,19,100,13,13,60,22,16
53,move,"move 13 18",1,577,310,150,13,19,100,13,13,60,22,16
54,move,"move 13 14",2,575,290,150,13,19,100,13,14,40,22,16
